annee,temp_moy_c,temp_anomalie_c,jours_chauds_30,jours_gel,precip_mm,source,co2_ppm,ch4_ppb,ges_total_mtco2eq,empreinte_totale_tco2eq,part_importee_tco2eq,anomalie_temp_c,trend_10ans,co2_delta_ann,score_risque_climatique,temp_moy_c_lag1,temp_moy_c_lag2,temp_moy_c_lag3,temp_moy_c_lag5,temp_moy_c_lag10,co2_ppm_lag1,co2_ppm_lag2,co2_ppm_lag3,co2_ppm_lag5,co2_ppm_lag10,anomalie_temp_c_lag1,anomalie_temp_c_lag2,anomalie_temp_c_lag3,anomalie_temp_c_lag5,anomalie_temp_c_lag10
2007,13.51,1.511,28.0,47,700.3,simule_base_meteofrance,384.02,1790.0,423.81,11.48,3.7,0.441,-0.721,1.93,63.5,13.92,13.54,13.39,13.31,13.4,382.09,379.98,377.7,373.45,363.88,0.851,0.471,0.321,0.241,0.331
2008,13.55,1.545,28.0,47,644.5,simule_base_meteofrance,385.83,1795.4,417.88,11.42,3.74,0.481,-0.973,1.81,64.1,13.51,13.92,13.54,15.01,13.34,384.02,382.09,379.98,375.98,366.84,0.441,0.851,0.471,1.941,0.271
2009,13.48,1.476,30.0,45,667.0,simule_base_meteofrance,387.64,1798.6,401.74,11.15,3.78,0.411,0.217,1.81,64.7,13.55,13.51,13.92,13.39,13.3,385.83,384.02,382.09,377.7,368.54,0.481,0.441,0.851,0.321,0.231
2010,13.03,1.028,31.0,45,726.9,simule_base_meteofrance,390.1,1808.5,408.61,11.29,3.82,-0.039,0.069,2.46,60.3,13.48,13.55,13.51,13.54,13.02,387.64,385.83,384.02,379.98,369.71,0.411,0.481,0.441,0.471,-0.049
2011,13.52,1.515,31.0,44,644.0,simule_base_meteofrance,391.85,1804.9,391.81,11.15,3.86,0.451,0.083,1.75,66.2,13.03,13.48,13.55,13.92,13.28,390.1,387.64,385.83,382.09,371.32,-0.039,0.411,0.481,0.851,0.211
2012,13.55,1.551,31.0,43,715.5,simule_base_meteofrance,394.06,1821.6,384.3,10.87,3.9,0.481,0.299,2.21,66.7,13.52,13.03,13.48,13.51,13.31,391.85,390.1,387.64,384.02,373.45,0.451,-0.039,0.411,0.441,0.241
2013,14.17,2.165,30.0,44,556.6,simule_base_meteofrance,396.74,1838.9,375.08,10.62,3.94,1.101,0.135,2.68,73.7,13.55,13.52,13.03,13.55,15.01,394.06,391.85,390.1,385.83,375.98,0.481,0.451,-0.039,0.481,1.941
2014,13.51,1.515,30.0,44,660.9,simule_base_meteofrance,398.81,1845.4,374.15999999999997,10.61,3.99,0.441,0.344,2.07,66.0,14.17,13.55,13.52,13.48,13.39,396.74,394.06,391.85,387.64,377.7,1.101,0.481,0.451,0.411,0.321
2015,13.65,1.652,28.0,42,703.6,simule_base_meteofrance,401.01,1850.4,367.64,10.61,4.03,0.581,1.157,2.2,66.6,13.51,14.17,13.55,13.03,13.54,398.81,396.74,394.06,390.1,379.98,0.441,1.101,0.481,-0.039,0.471
2016,13.58,1.582,32.0,43,735.4,simule_base_meteofrance,404.41,1856.9,353.41,10.79,4.07,0.511,0.739,3.4,68.6,13.65,13.51,14.17,13.52,13.92,401.01,398.81,396.74,391.85,382.09,0.581,0.441,1.101,0.451,0.851
2017,13.31,1.312,30.0,35,630.8,simule_base_meteofrance,406.76,1869.2,350.24,10.76,4.11,0.241,0.327,2.35,64.3,13.58,13.65,13.51,13.55,13.51,404.41,401.01,398.81,394.06,384.02,0.511,0.581,0.441,0.481,0.441
2018,13.9,1.903,34.0,48,596.3,simule_base_meteofrance,408.72,1872.1,342.71000000000004,10.37,4.15,0.831,0.894,1.96,74.1,13.31,13.58,13.65,14.17,13.55,406.76,404.41,401.01,396.74,385.83,0.241,0.511,0.581,1.101,0.481
2019,15.1696,3.172360000000001,48.760000000000005,47,658.2,simule_base_meteofrance,411.65,1873.4,335.59,10.29,4.19,2.101,0.68,2.93,98.9,13.9,13.31,13.58,13.51,13.48,408.72,406.76,404.41,398.81,387.64,0.831,0.241,0.511,0.441,0.411
2020,13.84,1.843,29.0,45,614.7,simule_base_meteofrance,414.21,1890.0,305.92,10.3,4.23,0.771,0.405,2.56,70.6,15.1696,13.9,13.31,13.65,13.03,411.65,408.72,406.76,401.01,390.1,2.101,0.831,0.241,0.581,-0.039
2021,13.43,1.432,32.0,46,663.3,simule_base_meteofrance,416.41,1900.3,330.05,10.17,4.28,0.361,0.328,2.2,67.8,13.84,15.1696,13.9,13.58,13.52,414.21,411.65,408.72,404.41,391.85,0.771,2.101,0.831,0.511,0.451
2022,15.1696,3.172360000000001,48.760000000000005,46,670.2,simule_base_meteofrance,418.53,1912.1,310.87,10.22,4.32,2.101,0.068,2.12,99.5,13.43,13.84,15.1696,13.31,13.55,416.41,414.21,411.65,406.76,394.06,0.361,0.771,2.101,0.241,0.481
2023,13.34,1.336,30.0,42,604.3,simule_base_meteofrance,421.08,1907.5,308.92,9.91,4.36,0.271,-0.886,2.55,65.8,15.1696,13.43,13.84,13.9,14.17,418.53,416.41,414.21,408.72,396.74,2.101,0.361,0.771,0.831,1.101
2024,13.85,1.847,30.0,42,710.2,simule_base_meteofrance,424.61,1922.4,304.59,10.04,4.4,0.781,-1.817,3.53,72.2,13.34,15.1696,13.43,15.1696,13.51,421.08,418.53,416.41,411.65,398.81,0.271,2.101,0.361,2.101,0.441
